epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85634,1.26531,3.23716,1.27062,0.01311,1,0.43019,0.25928,0.96291,2.89785,1.07213,0.00014,0.00014,0.00014
2,2.61023,1.14076,2.23084,1.10143,0.95807,0.55932,0.90033,0.60319,1.01018,2.21708,0.96594,0.000298515,0.000298515,0.000298515
3,3.44297,1.05469,1.40927,1.06204,0.96853,0.52169,0.77422,0.5132,1.03443,2.19818,1.0233,0.000455446,0.000455446,0.000455446
4,4.63738,0.99085,1.16575,1.00697,0.03759,0.9322,0.89072,0.63384,0.91805,2.33326,0.94564,0.000610793,0.000610793,0.000610793
5,5.50795,0.9918,1.05207,0.99772,0.90981,0.51302,0.93563,0.64103,0.95513,2.16892,0.93037,0.000764556,0.000764556,0.000764556
6,6.65412,0.91884,0.97114,0.97611,0.89667,0.79661,0.9109,0.56566,0.96464,1.86936,0.9867,0.000916735,0.000916735,0.000916735
7,7.61942,0.93461,0.94365,1.01015,0.84462,0.71186,0.74003,0.40126,1.02471,2.19935,1.02438,0.00106733,0.00106733,0.00106733
8,8.41699,0.95729,0.94445,1.04724,0.85675,0.81097,0.8398,0.59819,0.9224,1.54938,0.99297,0.00121634,0.00121634,0.00121634
9,9.43086,0.95449,1.01026,1.08345,0.97917,0.79655,0.96637,0.73803,0.87202,1.73675,0.96868,0.00136377,0.00136377,0.00136377
10,10.3156,0.93083,0.947,1.04749,0.98225,0.93804,0.98509,0.74281,0.90176,1.64588,0.99911,0.00150961,0.00150961,0.00150961
11,11.1207,0.96354,0.87089,1.01329,0.96333,0.8907,0.97706,0.73908,0.88469,1.55671,0.98894,0.00165387,0.00165387,0.00165387
12,11.9027,0.95518,0.86371,1.02693,0.84663,0.94915,0.95893,0.72422,0.79945,1.40637,0.96311,0.00179654,0.00179654,0.00179654
13,12.8891,0.97055,0.8705,1.04408,0.94692,0.90723,0.96878,0.74141,0.79266,1.32329,0.9608,0.0018812,0.0018812,0.0018812
14,13.8034,0.95949,0.87741,1.04189,0.99666,0.98305,0.99319,0.76659,0.81954,0.80633,0.99541,0.0018713,0.0018713,0.0018713
